ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS001,86AB000236,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/18/1986 07:50:00,10401,749,RESIDUE NONFILTERABLE,,58,mg/L,,,,,,396,10,0
ABS001,86AB000236,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/18/1986 07:50:00,10451,745,RESIDUE FILTERABLE,,155,mg/L,,,,,,404,10,0
ABS001,86AB000237,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/14/1986 15:40:00,10401,749,RESIDUE NONFILTERABLE,,10.6,mg/L,,,,,,396,10,0
ABS001,86AB000237,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/14/1986 15:40:00,10451,745,RESIDUE FILTERABLE,,175,mg/L,,,,,,404,10,0
ABS001,86AB000238,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/18/1986 10:30:00,10401,749,RESIDUE NONFILTERABLE,,5,mg/L,,,,,,396,10,0
ABS001,86AB000238,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/18/1986 10:30:00,10451,745,RESIDUE FILTERABLE,,180,mg/L,,,,,,404,10,0
ABS001,86AB000239,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/16/1986 09:30:00,10401,749,RESIDUE NONFILTERABLE,,3.6,mg/L,,,,,,396,10,0
ABS001,86AB000239,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/16/1986 09:30:00,10451,745,RESIDUE FILTERABLE,,200,mg/L,,,,,,404,10,0
ABS001,86AB000240,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/15/1986 15:00:00,10401,749,RESIDUE NONFILTERABLE,,7.3,mg/L,,,,,,396,10,0
ABS001,86AB000240,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/15/1986 15:00:00,10451,745,RESIDUE FILTERABLE,,235,mg/L,,,,,,404,10,0
ABS001,86AB000241,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,11/12/1986 10:00:00,10401,749,RESIDUE NONFILTERABLE,,2.8,mg/L,,,,,,396,10,0
ABS001,86AB000241,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,11/12/1986 10:00:00,10451,745,RESIDUE FILTERABLE,,260,mg/L,,,,,,404,10,0
ABS001,86AB000242,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,12/02/1986 09:30:00,10401,749,RESIDUE NONFILTERABLE,,62,mg/L,,,,,,396,10,0
ABS001,86AB000242,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,12/02/1986 09:30:00,10451,745,RESIDUE FILTERABLE,,210,mg/L,,,,,,404,10,0
ABS001,87AB000238,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/11/1987 10:00:00,10401,749,RESIDUE NONFILTERABLE,,127,mg/L,,,,,,396,10,0
ABS001,87AB000238,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/11/1987 10:00:00,10451,745,RESIDUE FILTERABLE,,180,mg/L,,,,,,404,10,0
ABS001,87AB000239,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/09/1987 11:00:00,10401,749,RESIDUE NONFILTERABLE,,13,mg/L,,,,,,396,10,0
ABS001,87AB000239,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/09/1987 11:00:00,10451,745,RESIDUE FILTERABLE,,170,mg/L,,,,,,404,10,0
